playerDeck,opponentDeck,ID 1,ID 2,Filter,Rank,playerDeck,opponentDeck,muWin,muGames,muWR
Ahri/Kennen (IO/NX),Lissandra/Taliyah,Ahri/Kennen (IO/NX)Lissandra/Taliyah (FR/SH),Lissandra/Taliyah (FR/SH)Ahri/Kennen (IO/NX),2,Masters,Ahri/Kennen (IO/NX),Lissandra/Taliyah (FR/SH),26,36,0.72
Ahri/Kennen (IO/NX),Miss Fortune/Quinn,Ahri/Kennen (IO/NX)Miss Fortune/Quinn (BW/DE),Miss Fortune/Quinn (BW/DE)Ahri/Kennen (IO/NX),2,Masters,Ahri/Kennen (IO/NX),Miss Fortune/Quinn (BW/DE),46,93,0.49
Ahri/Kennen (IO/NX),Pantheon/Shyvana,Ahri/Kennen (IO/NX)Pantheon/Shyvana (DE/MT),Pantheon/Shyvana (DE/MT)Ahri/Kennen (IO/NX),2,Masters,Ahri/Kennen (IO/NX),Pantheon/Shyvana (DE/MT),26,46,0.57
Ahri/Kennen (IO/NX),Pyke/Rek'Sai,Ahri/Kennen (IO/NX)Pyke/Rek'Sai (SH/BW),Pyke/Rek'Sai (SH/BW)Ahri/Kennen (IO/NX),2,Masters,Ahri/Kennen (IO/NX),Pyke/Rek'Sai (SH/BW),46,67,0.69
Ahri/Kennen (IO/NX),Senna/Veigar,Ahri/Kennen (IO/NX)Senna/Veigar (SI/BC),Senna/Veigar (SI/BC)Ahri/Kennen (IO/NX),2,Masters,Ahri/Kennen (IO/NX),Senna/Veigar (SI/BC),49,111,0.44
Ahri/Kennen (IO/NX),SunDisc,Ahri/Kennen (IO/NX)Azir/Xerath (SH),Azir/Xerath (SH)Ahri/Kennen (IO/NX),1,Masters,Ahri/Kennen (IO/NX),Azir/Xerath (SH),24,30,0.80
Ahri/Kennen (IO/NX),Trundle/Tryndamere (FR/SI),Ahri/Kennen (IO/NX)Trundle/Tryndamere (FR/SI),Trundle/Tryndamere (FR/SI)Ahri/Kennen (IO/NX),2,Masters,Ahri/Kennen (IO/NX),Trundle/Tryndamere (FR/SI),29,66,0.44
Ahri/Kennen (IO/NX),Xerath/Zilean (BC/SH),Ahri/Kennen (IO/NX)Xerath/Zilean (BC/SH),Xerath/Zilean (BC/SH)Ahri/Kennen (IO/NX),2,Masters,Ahri/Kennen (IO/NX),Xerath/Zilean (BC/SH),26,37,0.70
Ahri/Kennen (IO/SH),Ahri/Kennen (DE/IO),Ahri/Kennen (IO/SH)Ahri/Kennen (DE/IO),Ahri/Kennen (DE/IO)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Ahri/Kennen (DE/IO),22,46,0.48
Ahri/Kennen (IO/SH),Ahri/Kennen (IO),Ahri/Kennen (IO/SH)Ahri/Kennen (IO),Ahri/Kennen (IO)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Ahri/Kennen (IO),32,62,0.52
Ahri/Kennen (IO/SH),Ahri/Kennen (IO/NX),Ahri/Kennen (IO/SH)Ahri/Kennen (IO/NX),Ahri/Kennen (IO/NX)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Ahri/Kennen (IO/NX),55,121,0.45
Ahri/Kennen (IO/SH),Ahri/Kennen (IO/SH),Ahri/Kennen (IO/SH)Ahri/Kennen (IO/SH),Ahri/Kennen (IO/SH)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Ahri/Kennen (IO/SH),609,1218,0.50
Ahri/Kennen (IO/SH),Ahri/Kennen (IO/SI),Ahri/Kennen (IO/SH)Ahri/Kennen (IO/SI),Ahri/Kennen (IO/SI)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Ahri/Kennen (IO/SI),225,525,0.43
Ahri/Kennen (IO/SH),Ahri/Lulu (IO/PZ),Ahri/Kennen (IO/SH)Ahri/Lulu (IO/PZ),Ahri/Lulu (IO/PZ)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Ahri/Lulu (IO/PZ),83,156,0.53
Ahri/Kennen (IO/SH),Akshan/Sivir (DE/SH),Ahri/Kennen (IO/SH)Akshan/Sivir (DE/SH),Akshan/Sivir (DE/SH)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Akshan/Sivir (DE/SH),147,212,0.69
Ahri/Kennen (IO/SH),Anivia (FR/SI),Ahri/Kennen (IO/SH)Anivia (FR/SI),Anivia (FR/SI)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Anivia (FR/SI),150,262,0.57
Ahri/Kennen (IO/SH),Ashe/LeBlanc,Ahri/Kennen (IO/SH)Ashe/LeBlanc (FR/NX),Ashe/LeBlanc (FR/NX)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Ashe/LeBlanc (FR/NX),72,100,0.72
Ahri/Kennen (IO/SH),Aurelion Sol/Trundle,Ahri/Kennen (IO/SH)Aurelion Sol/Trundle (FR/MT),Aurelion Sol/Trundle (FR/MT)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Aurelion Sol/Trundle (FR/MT),49,69,0.71
Ahri/Kennen (IO/SH),Aurelion Sol/Zoe (FR/MT),Ahri/Kennen (IO/SH)Aurelion Sol/Zoe (FR/MT),Aurelion Sol/Zoe (FR/MT)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Aurelion Sol/Zoe (FR/MT),59,103,0.57
Ahri/Kennen (IO/SH),Azir/Irelia,Ahri/Kennen (IO/SH)Azir/Irelia (SH/IO),Azir/Irelia (SH/IO)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Azir/Irelia (SH/IO),61,98,0.62
Ahri/Kennen (IO/SH),BandleTree,Ahri/Kennen (IO/SH)Poppy/Ziggs/Kennen (NX/SI),Poppy/Ziggs/Kennen (NX/SI)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Poppy/Ziggs/Kennen (NX/SI),195,247,0.79
Ahri/Kennen (IO/SH),Braum/Vladimir,Ahri/Kennen (IO/SH)Braum/Vladimir (FR/NX),Braum/Vladimir (FR/NX)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Braum/Vladimir (FR/NX),28,41,0.68
Ahri/Kennen (IO/SH),Caitlyn/Kindred,Ahri/Kennen (IO/SH)Caitlyn/Kindred (PZ/SI),Caitlyn/Kindred (PZ/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Caitlyn/Kindred (PZ/SI),13,33,0.39
Ahri/Kennen (IO/SH),Caitlyn/Senna,Ahri/Kennen (IO/SH)Caitlyn/Senna (PZ/SI),Caitlyn/Senna (PZ/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Caitlyn/Senna (PZ/SI),17,39,0.44
Ahri/Kennen (IO/SH),Caitlyn/Teemo (BC/PZ),Ahri/Kennen (IO/SH)Caitlyn/Teemo (BC/PZ),Caitlyn/Teemo (BC/PZ)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Caitlyn/Teemo (BC/PZ),168,288,0.58
Ahri/Kennen (IO/SH),Championless (FR/PZ),Ahri/Kennen (IO/SH)Poros (FR/PZ),Poros (FR/PZ)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Poros (FR/PZ),583,874,0.67
Ahri/Kennen (IO/SH),Darius/Elise,Ahri/Kennen (IO/SH)Darius/Elise (NX/SI),Darius/Elise (NX/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Darius/Elise (NX/SI),20,79,0.25
Ahri/Kennen (IO/SH),Diana/Kindred,Ahri/Kennen (IO/SH)Diana/Kindred (MT/SI),Diana/Kindred (MT/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Diana/Kindred (MT/SI),17,32,0.53
Ahri/Kennen (IO/SH),Diana/Nocturne,Ahri/Kennen (IO/SH)Diana/Nocturne (MT/SI),Diana/Nocturne (MT/SI)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Diana/Nocturne (MT/SI),94,212,0.44
Ahri/Kennen (IO/SH),Diana/Zoe (BC/MT),Ahri/Kennen (IO/SH)Diana/Zoe (BC/MT),Diana/Zoe (BC/MT)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Diana/Zoe (BC/MT),180,276,0.65
Ahri/Kennen (IO/SH),Dragons (DE/MT),Ahri/Kennen (IO/SH)Shivana/Aurelion Sol (DE/MT),Shivana/Aurelion Sol (DE/MT)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Shivana/Aurelion Sol (DE/MT),55,80,0.69
Ahri/Kennen (IO/SH),Draven/Rumble (NX/PZ),Ahri/Kennen (IO/SH)Draven/Rumble (NX/PZ),Draven/Rumble (NX/PZ)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Draven/Rumble (NX/PZ),263,465,0.57
Ahri/Kennen (IO/SH),Ekko/Zilean,Ahri/Kennen (IO/SH)Ekko/Zilean (PZ/SH),Ekko/Zilean (PZ/SH)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Ekko/Zilean (PZ/SH),85,137,0.62
Ahri/Kennen (IO/SH),Elise (FR/SI),Ahri/Kennen (IO/SH)Elise (FR/SI),Elise (FR/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Elise (FR/SI),29,61,0.48
Ahri/Kennen (IO/SH),Elise (NX/SI),Ahri/Kennen (IO/SH)Elise (NX/SI),Elise (NX/SI)Ahri/Kennen (IO/SH),2,Masters,Ahri/Kennen (IO/SH),Elise (NX/SI),118,392,0.30
Ahri/Kennen (IO/SH),Elise/Ezreal/Kindred,Ahri/Kennen (IO/SH)Elise/Ezreal/Kindred (PZ/SI),Elise/Ezreal/Kindred (PZ/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Elise/Ezreal/Kindred (PZ/SI),44,70,0.63
Ahri/Kennen (IO/SH),Elise/Kindred (BC/SI),Ahri/Kennen (IO/SH)Elise/Kindred (BC/SI),Elise/Kindred (BC/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Elise/Kindred (BC/SI),14,32,0.44
Ahri/Kennen (IO/SH),Elise/Kindred (FR/SI),Ahri/Kennen (IO/SH)Elise/Kindred (FR/SI),Elise/Kindred (FR/SI)Ahri/Kennen (IO/SH),1,Masters,Ahri/Kennen (IO/SH),Elise/Kindred (FR/SI),21,37,0.57
